CATEGORY,DATE,UNITS_SOLD
CATEG-2,2020-01-09,3
CATEG-3,2019-11-29,961
CATEG-1,2021-01-03,95
CATEG-3,2021-05-27,3491
CATEG-2,2019-11-02,2
CATEG-2,2021-02-01,34
CATEG-2,2019-08-21,8
CATEG-2,2021-08-17,36
CATEG-3,2020-04-14,925
CATEG-2,2021-05-11,71
CATEG-2,2019-11-18,6
CATEG-1,2021-07-19,74
CATEG-1,2021-01-24,77
CATEG-1,2021-01-23,72
CATEG-2,2020-02-04,5
CATEG-2,2021-08-01,42
CATEG-1,2020-01-13,40
CATEG-2,2020-07-07,87
CATEG-2,2020-02-17,7
CATEG-3,2021-04-12,1967
CATEG-3,2019-10-13,414
CATEG-1,2020-08-13,53
CATEG-2,2020-02-20,4
CATEG-2,2021-07-03,30
CATEG-2,2021-01-03,32
CATEG-1,2021-09-04,43
CATEG-1,2021-09-20,53
CATEG-2,2021-11-06,17
CATEG-3,2021-02-25,1851
CATEG-3,2021-04-19,2005
CATEG-1,2020-01-26,26
CATEG-3,2020-05-08,1672
CATEG-2,2021-05-09,39
CATEG-3,2019-12-22,745
CATEG-1,2021-07-31,44
CATEG-3,2020-07-20,1499
CATEG-3,2018-10-09,2
CATEG-1,2020-09-21,60
CATEG-1,2021-02-26,75
CATEG-1,2020-11-17,104
CATEG-3,2019-07-04,534
CATEG-1,2020-02-16,22
CATEG-3,2020-12-26,2476
CATEG-3,2021-09-16,2020
CATEG-2,2020-10-26,11
CATEG-3,2021-08-27,2022
CATEG-3,2019-07-08,641
CATEG-3,2020-06-20,1151
CATEG-2,2020-03-06,9
CATEG-3,2018-10-08,1
CATEG-1,2021-01-17,80
CATEG-2,2021-03-06,85
CATEG-3,2020-12-31,1739
CATEG-3,2021-02-07,1733
CATEG-2,2020-09-18,8
CATEG-3,2020-07-04,1148
CATEG-1,2020-10-04,33
CATEG-3,2019-09-12,521
CATEG-1,2021-07-18,55
CATEG-2,2020-09-29,10
CATEG-2,2021-01-24,11
CATEG-2,2020-09-05,21
CATEG-1,2021-06-04,50
CATEG-2,2021-08-04,51
CATEG-1,2021-01-29,82
CATEG-1,2021-09-08,53
CATEG-2,2021-10-28,15
CATEG-2,2019-08-30,5
CATEG-1,2020-10-23,36
CATEG-3,2018-10-06,1
CATEG-3,2020-11-08,1659
CATEG-3,2020-10-12,2076
CATEG-1,2021-03-11,71
CATEG-2,2019-07-13,18
CATEG-3,2020-04-12,586
CATEG-3,2021-07-29,1860
CATEG-1,2019-06-24,27
CATEG-2,2021-03-15,170
CATEG-1,2019-07-10,26
CATEG-1,2019-08-05,24
CATEG-1,2021-03-01,75
CATEG-2,2021-07-21,47
CATEG-3,2021-10-07,2223
CATEG-1,2020-07-07,79
CATEG-2,2021-01-26,27
CATEG-2,2019-10-01,3
CATEG-1,2020-12-06,115
CATEG-1,2021-02-23,97
CATEG-1,2020-08-12,53
CATEG-3,2020-03-19,485
CATEG-1,2021-02-11,93
CATEG-2,2021-10-06,20
CATEG-3,2020-04-28,1229
CATEG-3,2021-09-27,2023
CATEG-3,2020-01-07,773
CATEG-2,2019-06-15,9
CATEG-2,2021-05-31,60
CATEG-3,2020-03-08,584
CATEG-3,2020-12-06,2300
CATEG-3,2020-07-11,1059
CATEG-2,2019-11-06,4
CATEG-2,2020-04-22,285
CATEG-3,2020-12-25,1757
CATEG-3,2021-03-13,1844
CATEG-3,2020-10-21,2165
CATEG-2,2021-02-06,24
CATEG-1,2021-11-04,52
CATEG-3,2019-09-18,677
CATEG-3,2018-10-15,1
CATEG-2,2019-12-29,6
CATEG-2,2020-10-18,10
CATEG-1,2019-10-04,13
CATEG-2,2021-08-25,19
CATEG-3,2021-07-13,2417
CATEG-1,2019-12-22,58
CATEG-1,2020-11-29,87
CATEG-1,2020-04-01,38
CATEG-2,2020-11-30,11
CATEG-3,2021-11-03,2065
CATEG-3,2021-09-25,1551
CATEG-3,2019-10-28,634
CATEG-2,2021-10-05,18
CATEG-2,2019-06-21,10
CATEG-3,2021-02-28,1868
CATEG-2,2019-10-21,2
CATEG-1,2019-06-13,24
CATEG-2,2021-03-17,136
CATEG-1,2019-08-15,25
CATEG-1,2020-08-04,61
CATEG-1,2020-01-12,23
CATEG-2,2021-04-15,125
CATEG-1,2021-07-11,38
CATEG-1,2021-10-22,38
CATEG-3,2020-05-07,1536
CATEG-2,2020-02-06,3
CATEG-1,2021-10-16,41
CATEG-2,2020-11-07,5
CATEG-1,2021-09-02,41
CATEG-3,2019-11-10,530
CATEG-2,2021-09-22,16
CATEG-2,2020-09-20,10
CATEG-1,2021-06-16,47
CATEG-2,2020-08-06,46
CATEG-3,2020-01-01,455
CATEG-3,2020-03-26,519
CATEG-2,2020-10-01,11
CATEG-1,2020-05-09,47
CATEG-2,2020-02-19,7
CATEG-1,2019-10-16,25
CATEG-1,2021-07-23,52
CATEG-2,2021-08-31,21
CATEG-1,2021-04-01,51
CATEG-2,2020-11-11,13
CATEG-1,2020-12-27,83
CATEG-3,2021-08-14,2085
CATEG-1,2020-05-29,89
CATEG-1,2021-01-19,97
CATEG-3,2020-03-31,614
CATEG-1,2019-08-11,25
CATEG-1,2021-03-23,67
CATEG-1,2019-07-31,28
CATEG-1,2019-12-26,76
CATEG-2,2020-09-15,11
CATEG-1,2019-07-21,16
CATEG-1,2021-08-26,41
CATEG-3,2020-11-11,2862
CATEG-3,2021-10-15,2166
CATEG-3,2020-07-19,1305
CATEG-2,2020-03-03,11
CATEG-3,2020-09-20,1243
CATEG-2,2020-07-06,112
CATEG-3,2020-01-05,614
CATEG-2,2021-04-20,111
CATEG-3,2021-04-01,1905
CATEG-1,2019-11-28,62
CATEG-1,2020-02-14,18
CATEG-1,2020-07-28,65
CATEG-3,2021-02-17,2025
CATEG-3,2020-12-20,4204
CATEG-3,2020-07-27,1386
CATEG-1,2020-11-20,142
CATEG-1,2021-01-15,80
CATEG-3,2019-11-28,818
CATEG-2,2021-04-02,103
CATEG-1,2019-08-26,28
CATEG-2,2020-02-27,5
CATEG-3,2021-04-23,1688
CATEG-1,2020-11-07,68
CATEG-2,2020-08-02,49
CATEG-1,2021-01-07,82
CATEG-2,2019-07-27,7
CATEG-1,2021-05-30,106
CATEG-1,2019-08-18,18
CATEG-2,2021-06-15,63
CATEG-3,2020-10-16,1754
CATEG-3,2021-11-07,2576
CATEG-2,2020-07-15,104
CATEG-3,2019-10-15,647
CATEG-1,2019-11-05,22
CATEG-1,2020-06-26,89
CATEG-1,2021-04-28,47
CATEG-2,2020-09-30,11
CATEG-2,2019-11-01,1
CATEG-1,2020-05-27,122
CATEG-2,2019-11-23,1
CATEG-3,2021-04-29,1923
CATEG-3,2019-12-01,727
CATEG-3,2020-02-26,734
CATEG-1,2019-06-11,27
CATEG-2,2021-08-10,40
CATEG-1,2020-02-12,22
CATEG-2,2019-12-24,4
CATEG-1,2019-11-03,12
CATEG-2,2020-05-16,143
CATEG-1,2021-06-10,41
CATEG-1,2020-12-16,192
CATEG-3,2021-05-15,1814
CATEG-3,2019-10-04,459
CATEG-1,2021-04-10,39
CATEG-1,2020-11-18,109
CATEG-1,2019-09-22,22
CATEG-3,2020-07-13,1322
CATEG-1,2019-10-11,21
CATEG-1,2021-01-02,83
CATEG-1,2019-11-07,18
CATEG-1,2021-10-08,37
CATEG-1,2020-08-30,44
CATEG-2,2021-08-07,37
CATEG-1,2021-07-06,54
CATEG-2,2020-01-27,7
CATEG-2,2021-06-06,42
CATEG-2,2020-10-17,9
CATEG-3,2021-05-09,2219
CATEG-2,2021-10-22,11
CATEG-3,2021-08-08,1917
CATEG-3,2021-05-02,1877
CATEG-2,2021-09-15,18
CATEG-3,2020-02-24,766
CATEG-2,2020-10-09,7
CATEG-2,2021-06-05,29
CATEG-2,2021-10-02,18
CATEG-3,2020-07-03,1320
CATEG-2,2021-07-30,41
CATEG-2,2020-12-30,29
CATEG-1,2021-09-24,41
CATEG-3,2020-10-20,2142
CATEG-3,2019-12-15,1126
CATEG-1,2021-09-06,54
CATEG-1,2020-07-05,67
CATEG-2,2021-10-14,20
CATEG-3,2021-04-05,1999
CATEG-2,2021-08-21,24
CATEG-3,2020-12-19,4001
CATEG-3,2021-03-16,2127
CATEG-1,2021-04-07,67
CATEG-3,2021-05-21,2082
CATEG-2,2021-04-22,86
CATEG-1,2021-04-08,54
CATEG-3,2021-09-10,2222
CATEG-2,2020-03-08,6
CATEG-2,2020-04-19,280
CATEG-3,2020-11-06,1801
CATEG-3,2021-05-19,2340
CATEG-1,2020-02-07,26
CATEG-1,2020-03-15,19
CATEG-2,2019-10-10,2
CATEG-1,2021-03-09,63
CATEG-1,2020-08-03,71
CATEG-2,2019-09-16,3
CATEG-3,2021-08-21,1704
CATEG-3,2021-08-23,2175
CATEG-1,2020-08-28,46
CATEG-1,2019-08-13,32
CATEG-3,2020-09-06,1476
CATEG-3,2021-01-07,2258
CATEG-3,2021-06-15,2732
CATEG-1,2020-07-03,66
CATEG-1,2020-04-22,63
CATEG-3,2020-09-28,1402
CATEG-3,2021-09-03,1975
CATEG-1,2020-04-10,31
CATEG-1,2021-01-04,105
CATEG-2,2020-03-24,93
CATEG-1,2020-04-11,36
CATEG-1,2021-06-22,66
CATEG-2,2020-02-25,5
CATEG-3,2021-07-20,1962
CATEG-1,2020-08-10,58
CATEG-1,2020-10-14,55
CATEG-3,2021-04-21,1898
CATEG-3,2019-10-17,528
CATEG-1,2020-06-14,63
CATEG-3,2020-03-29,439
CATEG-3,2019-11-12,767
CATEG-1,2019-07-09,28
CATEG-3,2020-05-30,2368
CATEG-2,2021-01-10,9
CATEG-1,2020-03-23,30
CATEG-3,2020-08-23,1217
CATEG-2,2020-09-02,30
CATEG-1,2019-08-06,23
CATEG-1,2019-06-30,20
CATEG-1,2020-05-31,94
CATEG-2,2020-10-07,9
CATEG-1,2021-04-13,56
CATEG-1,2019-07-16,37
CATEG-3,2019-11-02,373
CATEG-3,2019-07-15,1003
CATEG-3,2019-12-19,1273
CATEG-2,2021-05-08,34
CATEG-3,2021-03-20,1691
CATEG-3,2020-06-04,1413
CATEG-3,2020-11-15,3321
CATEG-3,2021-01-08,2018
CATEG-3,2021-04-16,1868
CATEG-2,2021-01-17,11
CATEG-2,2020-06-13,75
CATEG-3,2021-07-14,2400
CATEG-3,2021-06-25,1581
CATEG-3,2018-10-24,0
CATEG-1,2020-10-27,33
CATEG-2,2020-01-17,4
CATEG-3,2020-06-15,1832
CATEG-1,2020-10-11,30
CATEG-3,2020-08-14,1436
CATEG-1,2021-07-27,67
CATEG-3,2020-02-06,748
CATEG-3,2020-04-24,931
CATEG-3,2020-12-13,3126
CATEG-1,2019-10-05,11
CATEG-2,2021-09-11,17
CATEG-2,2021-09-21,25
CATEG-1,2019-12-06,70
CATEG-2,2021-06-17,56
CATEG-3,2020-02-21,631
CATEG-3,2020-10-13,2705
CATEG-2,2021-07-20,56
CATEG-1,2021-10-15,30
CATEG-2,2020-02-10,4
CATEG-3,2019-11-30,741
CATEG-2,2021-04-09,108
CATEG-3,2020-10-29,1452
CATEG-2,2021-06-12,46
CATEG-1,2019-11-21,35
CATEG-1,2021-04-04,52
CATEG-2,2020-05-09,119
CATEG-2,2021-04-05,111
CATEG-1,2020-08-20,47
CATEG-3,2020-11-21,2086
CATEG-1,2020-10-24,25
CATEG-2,2020-03-17,37
CATEG-3,2021-10-06,2439
CATEG-3,2019-08-26,643
CATEG-2,2020-11-09,19
CATEG-3,2021-06-27,1601
CATEG-2,2021-10-09,12
CATEG-3,2020-08-24,1482
CATEG-1,2021-03-04,70
CATEG-2,2020-03-02,8
CATEG-2,2020-03-22,68
CATEG-3,2021-10-03,2095
CATEG-1,2021-05-08,33
CATEG-3,2021-09-04,1883
CATEG-3,2021-03-08,2121
CATEG-3,2020-08-04,1382
CATEG-3,2019-12-10,1203
CATEG-1,2021-01-10,50
CATEG-3,2018-11-08,0
CATEG-2,2020-07-21,82
CATEG-3,2021-08-25,2020
CATEG-3,2021-06-07,1872
CATEG-3,2018-09-28,2
CATEG-1,2020-05-25,112
CATEG-1,2021-02-17,78
CATEG-3,2019-09-10,603
CATEG-2,2019-12-07,5
CATEG-1,2021-08-10,42
CATEG-3,2021-02-09,2104
CATEG-2,2020-04-20,298
CATEG-1,2020-11-02,35
CATEG-2,2021-10-29,12
CATEG-3,2019-12-08,773
CATEG-1,2021-07-14,58
CATEG-2,2021-04-08,103
CATEG-2,2020-02-18,6
CATEG-1,2019-07-15,39
CATEG-3,2020-02-22,542
CATEG-2,2021-07-18,52
CATEG-1,2019-11-17,122
CATEG-2,2020-11-16,16
CATEG-3,2021-08-02,2284
CATEG-3,2021-09-20,2092
CATEG-1,2019-08-29,26
CATEG-3,2021-10-30,1597
CATEG-3,2020-04-08,665
CATEG-3,2021-02-12,2137
CATEG-3,2021-02-11,2070
CATEG-3,2021-07-10,1741
CATEG-1,2021-07-22,61
CATEG-3,2019-06-12,679
CATEG-2,2021-04-13,120
CATEG-1,2021-01-18,94
CATEG-1,2021-02-20,64
CATEG-3,2020-01-02,811
CATEG-2,2020-06-24,73
CATEG-1,2020-05-21,77
CATEG-3,2020-02-08,620
CATEG-3,2021-10-21,2058
CATEG-1,2021-03-13,55
CATEG-3,2020-11-27,2146
CATEG-2,2021-04-03,95
CATEG-3,2020-10-07,1391
CATEG-2,2021-09-17,17
CATEG-3,2019-09-16,511
CATEG-2,2020-12-16,30
CATEG-1,2021-08-02,52
CATEG-1,2019-12-28,53
CATEG-2,2020-05-10,74
CATEG-2,2019-08-10,8
CATEG-1,2021-11-09,65
CATEG-2,2019-09-19,2
CATEG-2,2021-11-07,13
CATEG-2,2020-10-05,12
CATEG-2,2019-10-05,1
CATEG-1,2020-06-23,61
CATEG-3,2021-01-04,2618
CATEG-1,2019-12-27,81
CATEG-2,2020-12-25,14
CATEG-3,2020-07-28,1488
CATEG-3,2021-08-18,2196
CATEG-2,2020-03-12,14
CATEG-3,2021-10-05,2322
CATEG-3,2020-08-15,1338
CATEG-1,2020-04-08,38
CATEG-3,2021-02-27,1922
CATEG-2,2019-11-13,4
CATEG-1,2020-06-15,74
CATEG-1,2019-09-29,8
CATEG-1,2021-11-11,194
CATEG-3,2019-07-02,599
CATEG-3,2020-08-16,1314
CATEG-2,2019-12-12,7
CATEG-3,2021-08-29,1925
CATEG-1,2020-02-04,25
CATEG-2,2021-05-17,50
CATEG-2,2019-10-28,2
CATEG-2,2019-09-15,3
CATEG-1,2020-01-31,28
CATEG-1,2019-06-19,22
CATEG-1,2019-07-04,30
CATEG-2,2020-02-03,1
CATEG-2,2021-06-20,31
CATEG-3,2021-10-23,1850
CATEG-3,2021-08-24,2018
CATEG-1,2021-06-14,51
CATEG-2,2019-08-27,5
CATEG-1,2021-04-26,62
CATEG-3,2021-05-04,2262
CATEG-3,2020-08-27,1420
CATEG-2,2020-05-07,152
CATEG-2,2020-10-23,8
CATEG-3,2020-06-09,1372
CATEG-3,2021-01-02,2227
CATEG-2,2021-08-18,35
CATEG-1,2021-02-25,74
CATEG-2,2019-09-07,3
CATEG-3,2021-02-01,2166
CATEG-3,2020-08-25,1456
CATEG-1,2020-10-15,42
CATEG-2,2021-04-25,95
CATEG-2,2019-09-27,2
CATEG-2,2019-06-19,11
CATEG-3,2020-12-02,2491
CATEG-3,2019-11-13,695
CATEG-3,2020-12-21,4773
CATEG-2,2020-06-14,109
CATEG-3,2020-12-16,4244
CATEG-2,2021-10-23,9
CATEG-2,2021-07-04,34
CATEG-3,2021-08-01,1844
CATEG-1,2020-05-03,59
CATEG-1,2020-05-06,63
CATEG-1,2021-01-08,66
CATEG-3,2020-02-05,801
CATEG-1,2021-10-10,29
CATEG-1,2021-10-27,46
CATEG-1,2021-09-13,63
CATEG-1,2020-05-17,59
CATEG-1,2019-10-28,18
CATEG-3,2021-02-21,1784
CATEG-2,2020-07-04,93
CATEG-1,2019-11-09,15
CATEG-3,2021-09-26,1852
CATEG-3,2021-09-28,1936
CATEG-3,2021-06-06,1654
CATEG-1,2019-07-17,34
CATEG-1,2020-08-19,45
CATEG-1,2019-09-04,27
CATEG-2,2019-06-27,11
CATEG-3,2020-06-17,1562
CATEG-3,2019-07-07,418
CATEG-1,2020-03-14,21
CATEG-1,2019-11-10,13
CATEG-2,2020-06-16,124
CATEG-2,2020-10-13,13
CATEG-2,2019-11-07,1
CATEG-1,2020-12-01,118
CATEG-2,2020-03-15,20
CATEG-2,2019-12-04,5
CATEG-1,2020-12-11,177
CATEG-1,2020-05-20,85
CATEG-3,2020-08-20,1653
CATEG-3,2020-07-18,1368
CATEG-2,2019-07-07,14
CATEG-1,2020-06-27,54
CATEG-1,2020-05-22,141
CATEG-2,2019-06-14,9
CATEG-1,2020-03-09,32
CATEG-2,2020-03-25,106
CATEG-1,2020-12-26,90
CATEG-2,2019-10-29,1
CATEG-1,2020-03-10,34
CATEG-3,2019-10-12,375
CATEG-2,2020-12-10,32
CATEG-2,2020-09-01,23
CATEG-2,2020-04-16,268
CATEG-2,2021-07-26,53
CATEG-2,2020-08-29,22
CATEG-3,2019-07-10,628
CATEG-1,2020-07-09,77
CATEG-1,2020-03-19,25
CATEG-3,2020-01-09,707
CATEG-1,2021-10-25,40
CATEG-3,2020-07-29,1420
CATEG-2,2020-10-21,11
CATEG-3,2020-09-18,1295
CATEG-3,2019-07-03,566
CATEG-2,2020-07-02,87
CATEG-2,2020-07-08,75
CATEG-2,2021-01-30,16
CATEG-1,2021-02-01,104
CATEG-3,2019-12-30,776
CATEG-1,2020-11-23,65
CATEG-1,2020-07-30,62
CATEG-1,2019-10-27,12
CATEG-3,2021-07-21,2009
CATEG-1,2021-05-11,42
CATEG-3,2018-10-22,0
CATEG-1,2019-11-04,25
CATEG-1,2021-08-09,64
CATEG-2,2021-07-28,54
CATEG-2,2019-07-20,12
CATEG-2,2019-07-15,34
CATEG-2,2020-12-04,13
CATEG-3,2019-12-04,881
CATEG-1,2019-10-22,25
CATEG-1,2020-09-01,68
CATEG-1,2021-03-31,60
CATEG-3,2021-01-31,1906
CATEG-1,2021-08-13,48
CATEG-1,2021-06-06,33
